App,App,Worker,cronJobs/cronTasks,Should remove,Integration changes,Staging variations,Production
account-api,Publishing,,,,,,
asset-manager,Publishing,,,,,,
authenticating-proxy,Publishing,,,,,,
bouncer,Frontend,,,,,,
collections,Frontend,,,,,,
draft-collections,Frontend,,,,,,
collections-publisher,Publishing,,,,,,
content-block-manager,Publishing,,,,,,
content-data-admin,Publishing,,,,,,
content-data-api,Publishing,,yes,,,,
content-store,Publishing,,yes,,,,
draft-content-store,Frontend,,,,,,
content-tagger,Publishing,,yes,,,,
email-alert-api,Publishing,,,,,,
email-alert-frontend,Frontend,,,,,,
draft-email-alert-frontend,Frontend,,,,,,
email-alert-service,Frontend,,,,Originally disabled,Originally disabled,
feedback,Frontend,,,,,,
draft-feedback,Frontend,,,,,,
finder-frontend,Frontend,,yes,No,,,
draft-finder-frontend,Frontend,,,,,,
frontend,Frontend,,,,,,
draft-frontend,Frontend,,,,,,
government-frontend,Frontend,,,,,,
draft-government-frontend,Frontend,,,,,,
govspeak-preview,Publishing,,,,,,
govuk-chat,Frontend,,yes - wasn't disabled in integration,,,,
govuk-e2e-tests,n/a (Frontend in the integration run),,yes (disabled by default),No,appEnabled: false,,
hmrc-manuals-api,Publishing,,,,,,
licensify,Frontend,,,,,,
licensify-fronted,Frontend,,,,,,
link-checker-api,Publishing,,,,,,
local-links-manager,Publishing,,yes,,,,
locations-api,Frontend,,,,,,
manuals-publisher,Publishing,,,,,,
places-manager,Publishing,,,,,,
publisher,Publishing,,yes,,,,
govuk-graphql,Publishing,,,,appEnabled: false,,
publishing-api,Publishing,,yes,,,,
publishing-api-read-replica,Publishing,,,,appEnabled: false,,
release,n/a (Frontend in the integration run),,,No,,,
router,n/a,,,No,,,
draft-router,Publishing,,,,,,
search-admin,Publishing,,yes,,,,
search-api,Frontend,yes,yes,No,,,
search-api-v2,Frontend,,yes,No,,,
search-api-v2-beta-features,Publishing,,yes,No,Originally disabled,Originally disabled,Originally disabled
signon,Publishing,,yes,,,,
smartanswers,Frontend,,,,,,
static,Frontend,,,No,,,
draft-static,Frontend,,,,,,
short-url-manager,Publishing,,yes,,,,
specialist-publisher,Publishing,,,,,,
support,Publishing,,,,,,
support-api,Publishing,,yes,,,,
transition,Publishing,,yes,,,,
travel-advice-publisher,Publishing,,yes,,,,
govuk-replatform-test-app,Publishing,,,,,,
govuk-synthetic-test-app-canary,Publishing,,,,,,
whitehall-admin,Publishing,,yes,,,,
service-manual-publisher,Publishing,,,,,,
Relevant Publishing apps,32,,,,,,
Relevant Frontend apps,20,,,,,,
